iter	Passed	Remaining
603	1274	835
604	1275	833
605	1277	830
606	1278	827
607	1279	824
608	1283	823
609	1284	821
610	1285	818
611	1287	816
612	1289	814
613	1292	812
614	1293	809
615	1295	807
616	1298	806
617	1300	803
618	1301	800
619	1302	798
620	1304	796
621	1306	793
622	1307	791
623	1309	788
624	1310	786
625	1312	783
626	1313	781
627	1314	778
628	1315	776
629	1317	773
630	1318	771
631	1319	768
632	1320	765
633	1322	763
634	1323	760
635	1324	758
636	1326	755
637	1327	753
638	1328	750
639	1329	748
640	1331	745
641	1332	742
642	1333	740
643	1334	737
644	1336	735
645	1337	733
646	1338	730
647	1339	727
648	1341	725
649	1342	723
650	1343	720
651	1344	717
652	1346	715
653	1347	712
654	1348	710
655	1349	707
656	1350	705
657	1352	702
658	1353	700
659	1354	697
660	1355	695
661	1357	692
662	1358	690
663	1359	687
664	1360	685
665	1362	683
666	1363	680
667	1364	678
668	1366	675
669	1367	673
670	1368	671
671	1370	668
672	1372	666
673	1373	664
674	1374	661
675	1376	659
676	1377	657
677	1379	655
678	1380	652
679	1381	650
680	1383	647
681	1384	645
682	1386	643
683	1387	640
684	1388	638
685	1389	636
686	1391	633
687	1392	631
688	1394	629
689	1395	627
690	1397	624
691	1398	622
692	1400	620
693	1402	618
694	1403	615
695	1404	613
696	1405	611
697	1407	608
698	1409	606
699	1411	604
700	1412	602
701	1414	600
702	1416	598
703	1417	595
704	1418	593
705	1419	591
706	1421	588
707	1422	586
708	1425	584
709	1426	582
710	1427	580
711	1429	578
712	1431	576
713	1433	574
714	1435	572
715	1436	569
716	1439	567
717	1440	565
718	1443	564
719	1447	562
720	1449	560
721	1453	559
722	1456	558
723	1459	556
724	1461	554
725	1480	558
726	1482	556
727	1485	555
728	1487	552
729	1489	550
730	1492	549
731	1494	547
732	1495	544
733	1498	542
734	1500	540
735	1502	538
736	1504	536
737	1506	534
738	1510	533
739	1514	531
740	1516	530
741	1517	527
742	1522	526
743	1523	524
744	1525	522
745	1527	520
746	1529	518
747	1531	515
748	1534	514
749	1537	512
750	1538	510
751	1539	507
752	1542	505
753	1545	504
754	1546	501
755	1547	499
756	1549	497
757	1552	495
758	1553	493
759	1556	491
760	1559	489
761	1560	487
762	1561	485
763	1563	482
764	1566	481
765	1568	479
766	1570	477
767	1573	475
768	1575	473
769	1578	471
770	1583	470
771	1586	468
772	1589	466
773	1591	464
774	1594	462
775	1597	461
776	1599	459
777	1600	456
778	1603	454
779	1605	452
780	1609	451
781	1611	449
782	1613	447
783	1615	445
784	1617	443
785	1621	441
786	1623	439
787	1625	437
788	1627	435
789	1629	433
790	1632	431
791	1635	429
792	1638	427
793	1640	425
794	1641	423
795	1644	421
796	1646	419
797	1648	417
798	1649	415
799	1651	412
800	1653	410
801	1654	408
802	1656	406
803	1657	404
804	1660	402
805	1662	400
806	1664	398
807	1666	395
808	1668	393
809	1670	391
810	1671	389
811	1673	387
812	1676	385
813	1677	383
814	1678	381
815	1681	379
816	1683	377
817	1685	375
818	1687	372
819	1689	370
820	1691	368
821	1692	366
822	1694	364
823	1696	362
824	1698	360
825	1699	358
826	1701	355
827	1703	353
828	1705	351
829	1707	349
830	1708	347
831	1710	345
832	1711	343
833	1712	340
834	1714	338
835	1715	336
836	1717	334
837	1718	332
838	1719	330
839	1721	327
840	1722	325
841	1723	323
842	1725	321
843	1726	319
844	1727	316
845	1728	314
846	1729	312
847	1730	310
848	1732	308
849	1733	305
850	1734	303
851	1735	301
852	1736	299
853	1738	297
854	1739	295
855	1740	292
856	1741	290
857	1742	288
858	1744	286
859	1745	284
860	1746	282
861	1747	279
862	1748	277
863	1750	275
864	1751	273
865	1752	271
866	1754	269
867	1755	266
868	1756	264
869	1757	262
870	1759	260
871	1761	258
872	1762	256
873	1763	254
874	1765	252
875	1766	250
876	1767	247
877	1769	245
878	1771	243
879	1772	241
880	1773	239
881	1774	237
882	1776	235
883	1777	233
884	1778	231
885	1780	229
886	1781	226
887	1782	224
888	1783	222
889	1785	220
890	1786	218
891	1787	216
892	1789	214
893	1790	212
894	1791	210
895	1793	208
896	1794	206
897	1795	203
898	1796	201
899	1797	199
900	1799	197
901	1800	195
902	1801	193
903	1802	191
904	1803	189
905	1805	187
906	1806	185
907	1807	183
908	1808	181
909	1810	179
910	1811	176
911	1812	174
912	1813	172
913	1815	170
914	1816	168
915	1817	166
916	1818	164
917	1819	162
918	1820	160
919	1822	158
920	1823	156
921	1824	154
922	1825	152
923	1827	150
924	1828	148
925	1829	146
926	1830	144
927	1831	142
928	1833	140
929	1834	138
930	1835	136
931	1836	134
932	1838	131
933	1839	129
934	1840	127
935	1841	125
936	1842	123
937	1844	121
938	1845	119
939	1846	117
940	1847	115
941	1848	113
942	1850	111
943	1851	109
944	1852	107
945	1854	105
946	1855	103
947	1856	101
948	1857	99
949	1859	97
950	1860	95
951	1861	93
952	1863	91
953	1864	89
954	1866	87
955	1867	85
956	1868	83
957	1869	81
958	1871	79
959	1872	78
960	1873	76
961	1875	74
962	1876	72
963	1877	70
964	1878	68
965	1880	66
966	1881	64
967	1882	62
968	1883	60
969	1884	58
970	1886	56
971	1888	54
972	1889	52
973	1890	50
974	1892	48
975	1893	46
976	1894	44
977	1896	42
978	1897	40
979	1898	38
980	1899	36
981	1901	34
982	1902	32
983	1903	30
984	1905	29
985	1906	27
986	1907	25
987	1908	23
988	1909	21
989	1911	19
990	1912	17
991	1913	15
992	1914	13
993	1915	11
994	1916	9
995	1918	7
996	1919	5
997	1920	3
998	1921	1
999	1922	0
